"X(um)","Z(um)"
"0.000 ","-15.951 "
"23.616 ","-15.561 "
"47.233 ","-15.351 "
"70.849 ","-15.226 "
"94.466 ","-15.109 "
"118.082 ","-14.974 "
"141.699 ","-14.808 "
"165.315 ","-14.663 "
"188.931 ","-14.580 "
"212.548 ","-14.574 "
"236.164 ","-14.789 "
"259.781 ","-15.096 "
"283.397 ","-15.507 "
"307.014 ","-16.126 "
"330.630 ","-16.793 "
"354.247 ","-17.592 "
"377.863 ","-18.533 "
"401.479 ","-19.640 "
"425.096 ","-20.978 "
"448.712 ","-22.536 "
"472.329 ","-24.124 "
"495.945 ","-25.845 "
"519.562 ","-27.623 "
"543.178 ","-29.395 "
"566.794 ","-31.135 "
"590.411 ","-32.886 "
"614.027 ","-34.658 "
"637.644 ","-36.453 "
"661.260 ","-38.300 "
"684.877 ","-40.242 "
"708.493 ","-42.182 "
"732.110 ","-44.104 "
"755.726 ","-45.993 "
"779.342 ","-47.846 "
"802.959 ","-49.704 "
"826.575 ","-51.599 "
"850.192 ","-53.525 "
"873.808 ","-55.522 "
"897.425 ","-57.462 "
"921.041 ","-59.270 "
"944.657 ","-60.730 "
"968.274 ","-59.632 "
"991.890 ","-56.905 "
"1015.507 ","-55.069 "
"1039.123 ","-49.401 "
"1062.740 ","-41.250 "
"1086.356 ","-32.091 "
"1109.973 ","-22.507 "
"1133.589 ","-13.059 "
"1157.205 ","-4.291 "
"1180.822 ","3.605 "
"1204.438 ","10.508 "
"1228.055 ","16.364 "
"1251.671 ","21.407 "
"1275.288 ","25.512 "
"1298.904 ","28.640 "
"1322.520 ","30.783 "
"1346.137 ","32.187 "
"1369.753 ","32.851 "
"1393.370 ","32.852 "
"1416.986 ","32.309 "
"1440.603 ","31.307 "
"1464.219 ","30.033 "
"1487.836 ","28.494 "
"1511.452 ","26.864 "
"1535.068 ","25.200 "
"1558.685 ","23.653 "
"1582.301 ","22.117 "
"1605.918 ","20.478 "
"1629.534 ","18.907 "
"1653.151 ","17.451 "
"1676.767 ","16.039 "
"1700.383 ","14.480 "
"1724.000 ","12.781 "
"1747.616 ","10.955 "
"1771.233 ","9.091 "
"1794.849 ","7.083 "
"1818.466 ","4.999 "
"1842.082 ","3.019 "
"1865.699 ","1.304 "
"1889.315 ","-0.161 "
"1912.931 ","-1.387 "
"1936.548 ","-2.401 "
"1960.164 ","-3.284 "
"1983.781 ","-4.177 "
"2007.397 ","-5.236 "
"2031.014 ","-6.529 "
"2054.630 ","-8.026 "
"2078.246 ","-9.625 "
"2101.863 ","-11.261 "
"2125.479 ","-12.871 "
"2149.096 ","-14.447 "
"2172.712 ","-15.992 "
"2196.329 ","-17.444 "
"2219.945 ","-18.937 "
"2243.562 ","-20.596 "
"2267.178 ","-22.431 "
"2290.794 ","-24.434 "
"2314.411 ","-26.547 "
"2338.027 ","-28.625 "
"2361.644 ","-30.777 "
"2385.260 ","-32.853 "
"2408.877 ","-34.674 "
"2432.493 ","-36.223 "
"2456.109 ","-37.602 "
"2479.726 ","-38.937 "
"2503.342 ","-40.467 "
"2526.959 ","-42.072 "
"2550.575 ","-43.759 "
"2574.192 ","-45.611 "
"2597.808 ","-47.509 "
"2621.425 ","-49.266 "
"2645.041 ","-50.770 "
"2668.657 ","-51.909 "
"2692.274 ","-52.513 "
"2715.890 ","-52.122 "
"2739.507 ","-50.302 "
"2763.123 ","-41.452 "
"2786.740 ","-31.133 "
"2810.356 ","-19.183 "
"2833.972 ","-6.476 "
"2857.589 ","5.762 "
"2881.205 ","15.551 "
"2904.822 ","23.014 "
"2928.438 ","27.868 "
"2952.055 ","32.115 "
"2975.671 ","36.493 "
"2999.288 ","40.978 "
"3022.904 ","45.383 "
"3046.520 ","49.481 "
"3070.137 ","53.023 "
"3093.753 ","55.594 "
"3117.370 ","56.823 "
