"X(um)","Z(um)"
"0.000 ","34.221 "
"23.626 ","31.962 "
"47.251 ","30.062 "
"70.877 ","28.873 "
"94.502 ","28.766 "
"118.128 ","29.925 "
"141.753 ","32.226 "
"165.379 ","35.277 "
"189.004 ","38.445 "
"212.630 ","41.119 "
"236.255 ","43.100 "
"259.881 ","44.332 "
"283.507 ","45.055 "
"307.132 ","45.713 "
"330.758 ","46.641 "
"354.383 ","47.980 "
"378.009 ","49.571 "
"401.634 ","51.067 "
"425.260 ","52.271 "
"448.885 ","53.183 "
"472.511 ","53.880 "
"496.137 ","54.445 "
"519.762 ","55.062 "
"543.388 ","55.863 "
"567.013 ","56.797 "
"590.639 ","57.554 "
"614.264 ","57.954 "
"637.890 ","57.924 "
"661.515 ","57.412 "
"685.141 ","56.470 "
"708.766 ","55.336 "
"732.392 ","54.241 "
"756.018 ","53.281 "
"779.643 ","52.407 "
"803.269 ","51.494 "
"826.894 ","50.392 "
"850.520 ","48.949 "
"874.145 ","47.071 "
"897.771 ","44.940 "
"921.396 ","42.784 "
"945.022 ","40.720 "
"968.648 ","38.800 "
"992.273 ","37.056 "
"1015.899 ","35.468 "
"1039.524 ","33.950 "
"1063.150 ","32.455 "
"1086.775 ","30.924 "
"1110.401 ","29.232 "
"1134.026 ","27.427 "
"1157.652 ","25.510 "
"1181.277 ","23.319 "
"1204.903 ","20.927 "
"1228.529 ","18.306 "
"1252.154 ","15.443 "
"1275.780 ","12.459 "
"1299.405 ","9.504 "
"1323.031 ","6.544 "
"1346.656 ","3.544 "
"1370.282 ","1.159 "
"1393.907 ","-1.010 "
"1417.533 ","-2.918 "
"1441.159 ","-4.637 "
"1464.784 ","-6.287 "
"1488.410 ","-7.806 "
"1512.035 ","-9.126 "
"1535.661 ","-10.197 "
"1559.286 ","-11.244 "
"1582.912 ","-12.425 "
"1606.537 ","-13.691 "
"1630.163 ","-15.011 "
"1653.788 ","-16.515 "
"1677.414 ","-18.198 "
"1701.040 ","-19.898 "
"1724.665 ","-21.563 "
"1748.291 ","-23.348 "
"1771.916 ","-25.403 "
"1795.542 ","-27.937 "
"1819.167 ","-30.851 "
"1842.793 ","-34.171 "
"1866.418 ","-37.805 "
"1890.044 ","-41.310 "
"1913.670 ","-44.286 "
"1937.295 ","-46.544 "
"1960.921 ","-47.858 "
"1984.546 ","-48.330 "
"2008.172 ","-47.969 "
"2031.797 ","-46.756 "
"2055.423 ","-43.754 "
"2079.048 ","-37.013 "
"2102.674 ","-26.387 "
"2126.299 ","-13.308 "
"2149.925 ","0.965 "
"2173.551 ","15.079 "
"2197.176 ","27.876 "
"2220.802 ","38.242 "
"2244.427 ","45.216 "
"2268.053 ","49.178 "
"2291.678 ","51.962 "
"2315.304 ","54.360 "
"2338.929 ","56.445 "
"2362.555 ","58.156 "
"2386.181 ","59.397 "
"2409.806 ","60.135 "
"2433.432 ","60.443 "
"2457.057 ","60.347 "
"2480.683 ","59.932 "
"2504.308 ","59.340 "
"2527.934 ","58.677 "
"2551.559 ","58.019 "
"2575.185 ","57.405 "
"2598.810 ","56.819 "
"2622.436 ","56.209 "
"2646.062 ","55.592 "
"2669.687 ","54.967 "
"2693.313 ","54.206 "
"2716.938 ","53.203 "
"2740.564 ","51.964 "
"2764.189 ","50.597 "
"2787.815 ","49.178 "
"2811.440 ","47.741 "
"2835.066 ","46.326 "
"2858.692 ","44.961 "
"2882.317 ","43.678 "
"2905.943 ","42.471 "
"2929.568 ","41.306 "
"2953.194 ","40.030 "
"2976.819 ","38.548 "
"3000.445 ","36.842 "
"3024.070 ","35.102 "
"3047.696 ","33.309 "
"3071.321 ","31.315 "
"3094.947 ","29.173 "
"3118.573 ","27.039 "
"3142.198 ","24.993 "
"3165.824 ","23.043 "
"3189.449 ","21.139 "
"3213.075 ","19.273 "
"3236.700 ","17.480 "
"3260.326 ","15.630 "
"3283.951 ","13.773 "
